text,label
"03 April, 2026 Eeshwar Elango eeshwarelango@gmail.com Dear Eeshwar, Following a thorough evaluation of your application and your performance in the screening assessment, we are pleased to confirm that you have been selected for the position of Frontend Developer Intern at Zorvyn FinTech Pvt",Low
"(hereinafter referred to as ""the Company"")",Medium
"This letter sets forth the complete terms and conditions governing your internship engagement, including your role, reporting structure, compensation, obligations, and the policies applicable to your tenure",Low
Please read this document in its entirety,Low
"By signing and returning this letter, you indicate your unconditional acceptance of all terms stated herein",Low
Employment Agreement: Terms and Conditions You are hereby offered the position of Frontend Developer Intern on an internship basis under a fully remote work arrangement,Low
You will not be required to report to a physical office at any point during this engagement,Low
"You shall report to Vijay Adsul, who will serve as your designated reporting manager",Low
"Vijay Adsul will be responsible for assigning tasks, providing guidance, evaluating your deliverables, and ensuring adherence to the terms of this agreement throughout the internship period",Low
"Your internship shall commence on 13th April 2026 and shall continue for a period of 6 Months, concluding on 12th October 2026, unless terminated earlier in accordance with the provisions set forth in this agreement",Low
"Upon successful completion of your internship, and subject to satisfactory performance evaluations, you may be considered for a Pre Placement Offer (PPO) for a full time position within the Company",Low
The compensation for such a full time role may be up to INR 11 LPA,Low
"Any such offer shall be made at the sole and absolute discretion of the Company, based on its internal evaluation criteria, business requirements, and organisational needs at the time of assessment",Low
"does not charge any fees in connection with internships, employment, or onboarding",Low
"This includes, without limitation, application fees, processing fees, joining fees, training fees, or charges for welcome kits",Low
"If any individual or entity requests payment on behalf of the Company, you are advised to disregard such communication and report it immediately to hr@zorvyn.io",Low
"Stipend and Payment Terms In consideration of your services as Frontend Developer Intern, you shall receive a monthly stipend of INR 35,000",Low
The stipend shall be disbursed on or before the 13th of each calendar month via your preferred mode of payment,Low
"Following your acceptance of this offer, the Human Resources department will contact you to collect the banking or payment details necessary for processing your compensation",Low
You are solely responsible for ensuring that the payment information provided is accurate and complete,Low
The Company shall not be held liable for any delays or errors in payment arising from incorrect details furnished by you,High
"Any expenses incurred by you in direct relation to authorised project work, including expenditure on software licences, hardware or equipment, shall be eligible for reimbursement, provided such expenses have received prior approval from the reporting manager",Low
